px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
-24.6221	5.27588	4.82959	0.911083	-0.484717	lidar	0.550726	-24.5041	5.35293	-24.5201	5.29995	3.01833	3.90839
-24.449	5.44863	4.83042	0.864122	-0.530245	radar	0.978682	-24.4379	5.24592	-24.367	5.49367	3.10754	3.84401
-24.2711	5.6252	4.83267	0.831513	-0.535981	lidar	0.681468	-24.1159	5.61152	-24.2095	5.68414	3.19464	3.77827
-24.1057	5.78714	4.828	0.793036	-0.563388	radar	3.16806	-24.5638	4.75836	-24.0477	5.8713	3.27959	3.71127
-23.9319	5.95469	4.82761	0.763904	-0.564402	lidar	0.0112539	-23.9153	5.94377	-23.8818	6.05508	3.36239	3.64309
-23.7873	6.15166	4.82477	0.779323	-0.472945	radar	4.47342	-23.5491	6.44495	-23.7117	6.23542	3.44302	3.57383
-23.6168	6.31599	4.82227	0.755782	-0.473184	lidar	0.0426572	-23.6471	6.29102	-23.5377	6.41227	3.52148	3.50357
-23.4694	6.50073	4.81954	0.75592	-0.430644	radar	1.619	-23.7544	6.53746	-23.3598	6.58559	3.59775	3.4324
-23.2673	6.68511	4.8387	0.732826	-0.42979	lidar	2.69214	-23.0099	6.86182	-23.1781	6.75533	3.67185	3.36041
-23.0646	6.82474	4.83491	0.705256	-0.429691	radar	5.53245	-22.7862	5.74143	-22.9928	6.92146	3.74376	3.28768
-22.8626	6.98741	4.84482	0.681635	-0.430686	lidar	0.893203	-22.6991	7.063	-22.804	7.08393	3.8135	3.21431
-22.6471	7.11401	4.84584	0.639982	-0.464175	radar	1.73867	-22.418	6.76159	-22.6117	7.24273	3.88106	3.14038
-22.4579	7.26551	4.84761	0.620614	-0.46012	lidar	0.145247	-22.5083	7.31524	-22.4161	7.39782	3.94647	3.06598
-22.231	7.37745	4.85431	0.562705	-0.530394	radar	2.89435	-22.0543	7.85452	-22.2173	7.54917	4.00974	2.99118
-22.0439	7.53428	4.85989	0.548484	-0.517331	lidar	1.40803	-22.1947	7.69478	-22.0154	7.69679	4.07087	2.91607
-21.8659	7.70881	4.8625	0.560489	-0.44976	radar	6.10767	-21.6178	9.0351	-21.8105	7.84064	4.12989	2.84074
-21.6594	7.85082	4.86874	0.542354	-0.444539	lidar	0.236164	-21.6473	7.94	-21.6026	7.98072	4.18681	2.76526
-21.4707	7.99041	4.86417	0.535263	-0.419616	radar	1.4825	-21.8637	7.78661	-21.392	8.11703	4.24166	2.68971
-21.2396	8.06708	4.85487	0.497177	-0.438196	lidar	2.31888	-21.0853	7.83229	-21.1787	8.24957	4.29447	2.61417
-21.0478	8.23477	4.85755	0.519502	-0.353761	radar	6.04449	-20.5503	9.28616	-20.9628	8.37833	4.34526	2.53871
-20.8583	8.38091	4.85814	0.514257	-0.34086	lidar	1.54911	-21.0519	8.50983	-20.7444	8.50333	4.39406	2.46341
-20.6184	8.4799	4.86853	0.472761	-0.386788	radar	4.59744	-19.9265	9.40847	-20.5237	8.62457	4.4409	2.38835
-20.3851	8.60146	4.88102	0.454231	-0.384849	lidar	1.05578	-20.21	8.68914	-20.3006	8.74206	4.48582	2.31358
-20.1858	8.74153	4.87801	0.466509	-0.325464	radar	1.63246	-20.2277	8.8532	-20.0753	8.85583	4.52884	2.23919
-19.9761	8.85345	4.87516	0.453068	-0.322801	lidar	0.215124	-20.0633	8.86724	-19.848	8.96589	4.57001	2.16524
-19.7737	8.9843	4.87103	0.462734	-0.273118	radar	1.26889	-19.9264	8.78179	-19.6186	9.07227	4.60937	2.09179
-19.5476	9.07082	4.86759	0.441505	-0.281062	lidar	0.431467	-19.4861	8.96665	-19.3873	9.17499	4.64694	2.01891
-19.3095	9.17133	4.8781	0.416657	-0.302766	radar	4.5645	-18.5719	10.2069	-19.1542	9.27409	4.68278	1.94666
-19.0493	9.25183	4.89135	0.390267	-0.313351	lidar	3.88887	-18.6786	9.19191	-18.9193	9.36959	4.71692	1.8751
-18.8302	9.33686	4.88678	0.369437	-0.326119	radar	1.50358	-19.2825	8.98189	-18.6827	9.46154	4.7494	1.80429
-18.5868	9.42885	4.89655	0.352448	-0.326189	lidar	0.767307	-18.4242	9.46852	-18.4446	9.54996	4.78028	1.73429
-18.3205	9.43853	4.90005	0.283911	-0.416738	radar	6.46802	-18.1634	8.72444	-18.2049	9.63492	4.80959	1.66514
-18.0595	9.53828	4.92392	0.270021	-0.407822	lidar	3.25049	-17.7736	9.72478	-17.9639	9.71643	4.83737	1.59691
-17.8171	9.6223	4.92805	0.268662	-0.367473	radar	3.20693	-17.2296	9.97767	-17.7214	9.79457	4.86368	1.52964
-17.5601	9.71691	4.94746	0.258145	-0.357554	lidar	2.07826	-17.3436	9.88109	-17.4777	9.86936	4.88856	1.46338
-17.3193	9.78357	4.95074	0.239219	-0.3627	radar	0.682966	-17.1554	10.212	-17.2328	9.94087	4.91205	1.39818
-17.0632	9.8911	4.97277	0.236531	-0.344539	lidar	2.77408	-16.8876	10.145	-16.9868	10.0091	4.93421	1.33408
-16.8156	9.94509	4.97578	0.21682	-0.348561	radar	0.323135	-16.5958	10.1078	-16.7396	10.0743	4.95507	1.27113
-16.5677	10.0499	4.9915	0.217197	-0.328593	lidar	2.10099	-16.5153	10.3091	-16.4915	10.1362	4.97469	1.20937
-16.3208	10.1067	4.99575	0.198443	-0.336481	radar	0.95348	-16.09	10.5824	-16.2424	10.1952	4.99311	1.14883
-16.0699	10.1592	5.00035	0.182873	-0.33481	lidar	0.1306	-16.006	10.1843	-15.9924	10.2511	5.01039	1.08956
-15.8265	10.2212	5.00078	0.179	-0.311833	radar	0.361723	-15.7234	10.41	-15.7416	10.3041	5.02655	1.03159
-15.5798	10.2511	4.99847	0.158959	-0.316642	lidar	0.114015	-15.5699	10.1904	-15.4899	10.3543	5.04166	0.974957
-15.3	10.2474	5.01643	0.105777	-0.385291	radar	9.40035	-14.2385	10.9109	-15.2376	10.4016	5.05576	0.919692
-15.0398	10.3071	5.02957	0.0981106	-0.372215	lidar	1.12267	-14.9365	10.4722	-14.9846	10.4462	5.06889	0.865828
-14.7899	10.3449	5.02385	0.107256	-0.30912	radar	6.13703	-14.724	9.63507	-14.7309	10.4882	5.0811	0.813394
-14.5306	10.345	5.02534	0.082323	-0.318994	lidar	0.854148	-14.4088	10.222	-14.4766	10.5276	5.09243	0.762418
-14.2721	10.3672	5.02999	0.0693643	-0.312046	radar	0.952323	-13.9005	10.5238	-14.2218	10.5645	5.10293	0.712926
-13.9969	10.4833	5.05991	0.0885127	-0.272979	lidar	7.35984	-13.8049	10.9383	-13.9665	10.5989	5.11263	0.664944
-13.7427	10.55	5.06176	0.1095	-0.208481	radar	2.51791	-13.3956	10.7857	-13.7107	10.631	5.12159	0.618496
-13.4802	10.5737	5.06808	0.0975386	-0.20973	lidar	0.436324	-13.3556	10.5517	-13.4545	10.6608	5.12983	0.573603
-13.2215	10.5938	5.07274	0.082066	-0.220023	radar	0.618071	-12.9374	10.8137	-13.1979	10.6884	5.13741	0.530288
-12.9627	10.6817	5.08542	0.0947769	-0.194974	lidar	3.25504	-12.9591	11.0099	-12.9409	10.7138	5.14436	0.48857
-12.7033	10.7338	5.09162	0.0999811	-0.171494	radar	2.08574	-12.2518	11.2495	-12.6836	10.7373	5.15071	0.448467
-12.4455	10.734	5.09146	0.0828572	-0.18023	lidar	0.610998	-12.3713	10.6091	-12.426	10.7587	5.15651	0.409997
-12.1879	10.774	5.0943	0.0883282	-0.153183	radar	0.721888	-11.9352	10.9161	-12.1681	10.7783	5.16179	0.373177
-11.9316	10.8377	5.10091	0.0949023	-0.138634	lidar	1.37231	-11.9451	11.0515	-11.91	10.7961	5.16658	0.338022
-11.66	10.851	5.11109	0.0821183	-0.146821	radar	3.45835	-10.9703	10.9676	-11.6516	10.8121	5.17092	0.304546
-11.4088	10.8816	5.11028	0.0784811	-0.143108	lidar	0.159733	-11.4548	10.9407	-11.393	10.8265	5.17484	0.272761
-11.15	10.7949	5.11052	-0.00769932	-0.291562	radar	9.51296	-11.3472	10.5111	-11.1342	10.8394	5.17836	0.242681
-10.8709	10.7782	5.12386	-0.0276261	-0.296686	lidar	2.24486	-10.6009	10.6823	-10.8753	10.8509	5.18153	0.214317
-10.6166	10.7744	5.12328	-0.0402112	-0.293661	radar	0.0640909	-10.6563	10.8369	-10.6161	10.8609	5.18435	0.187679
-10.3638	10.779	5.12304	-0.0491058	-0.28772	lidar	0.336018	-10.4142	10.8747	-10.3569	10.8697	5.18687	0.162776
-10.107	10.852	5.1218	-0.00135072	-0.172802	radar	6.63093	-9.90413	11.2255	-10.0976	10.8772	5.1891	0.139618
-9.84521	10.8905	5.12852	0.00371881	-0.158102	lidar	1.3481	-9.83445	11.1032	-9.83809	10.8837	5.19106	0.118212
-9.60333	10.8757	5.11796	-0.00620116	-0.156226	radar	3.424	-10.195	10.3498	-9.57852	10.8891	5.19278	0.0985664
-9.3412	10.8987	5.12374	-0.00544512	-0.147243	lidar	0.585275	-9.3066	11.0348	-9.31887	10.8936	5.19428	0.0806865
-9.08739	10.8807	5.12007	-0.0120197	-0.136919	radar	2.44235	-9.2226	10.3527	-9.05915	10.8972	5.19557	0.0645787
-8.82451	10.9066	5.12638	-0.00897776	-0.126774	lidar	0.832978	-8.78899	11.0707	-8.79937	10.9001	5.19667	0.050248
-8.57434	10.8624	5.11988	-0.0271189	-0.135703	radar	5.97026	-8.83914	10.0319	-8.53953	10.9023	5.19759	0.0376992
-8.34882	10.8207	5.09913	-0.0445645	-0.14656	lidar	2.85183	-8.62045	10.6577	-8.27965	10.9039	5.19835	0.0269359
-8.08967	10.8452	5.10172	-0.0290576	-0.106403	radar	1.31037	-7.91543	11.1157	-8.01974	10.905	5.19896	0.0179617
-7.80408	10.8658	5.12248	-0.025359	-0.0971676	lidar	2.79063	-7.51971	11.0005	-7.75979	10.9057	5.19942	0.0107791
-7.53897	10.8678	5.12659	-0.0156911	-0.0636458	radar	1.97172	-7.25987	10.6458	-7.49981	10.9061	5.19975	0.00539029
-7.27231	10.8586	5.133	-0.0206476	-0.0654484	lidar	0.419606	-7.15631	10.815	-7.23983	10.9063	5.19994	0.00179692
-7.02485	10.903	5.1264	0.0123797	0.00292047	radar	3.18529	-7.39396	11.0181	-6.97983	10.9064	5.2	-7.84874e-015
