time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446450000	17.3108	5.00675	4.58102	0.659731	0.246909	radar	0.598493	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.4895	5.15026	4.58173	0.67263	0.247283	lidar	0.0135666	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.6693	5.19472	4.45729	0.663658	0.233763	radar	1.14104	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.8428	5.33491	4.45808	0.675849	0.234099	lidar	0.00976894	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.9783	5.57352	4.38207	0.715688	0.254032	radar	1.38708	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.1412	5.7212	4.38333	0.729147	0.254534	lidar	0.0225397	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.2724	6.02994	4.50827	0.780429	0.279249	radar	2.35382	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.4295	6.19303	4.50969	0.795321	0.279859	lidar	0.0296294	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.5451	6.47099	4.51181	0.841151	0.301488	radar	1.22913	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.6929	6.64121	4.51224	0.856532	0.301688	lidar	0.00411935	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.84	6.88504	4.65635	0.883745	0.307496	radar	0.805451	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9854	7.06645	4.65673	0.899218	0.307559	lidar	0.00432567	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0362	7.28864	4.45233	0.942252	0.329484	radar	3.56209	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1635	7.47283	4.45412	0.959564	0.330016	lidar	0.0200764	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2983	7.65878	4.51205	0.973358	0.327107	radar	0.0928293	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.4214	7.84895	4.51361	0.990467	0.327581	lidar	0.0181165	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4937	8.07351	4.56901	1.01932	0.334185	radar	2.22159	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.6102	8.26985	4.5695	1.03633	0.334371	lidar	0.00787627	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.7062	8.44957	4.44485	1.05681	0.339487	radar	0.434108	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.8125	8.64515	4.44592	1.07409	0.33967	lidar	0.0107934	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8493	8.95448	4.41771	1.12635	0.363889	radar	1.32393	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
